Rk,Player,PTS,Date,Age,Team,at,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Player-additional,season,season_year
329,Adrian Dantley,50,1980-10-31,25-246,UTA,,DAL,W 144-122,1,41,12,17,0.706,12,17,0.706,0,0,,26,29,0.897,0.84,,,4,4,2,0,,4,50,,,F-G,dantlad01,1980-81,1981
330,Larry Kenon,51,1980-03-30,27-108,SAS,,DET,W 144-124,1,36,23,32,0.719,23,32,0.719,0,0,,5,6,0.833,0.736,,,7,1,0,0,,4,51,,,F,kenonla01,1979-80,1980
331,George Gervin,55,1980-01-23,27-271,SAS,@,IND,W 144-130,1,39,21,32,0.656,20,30,0.667,1,2,0.5,12,15,0.8,0.712,,,5,5,0,1,,0,55,,,G-F,gervige01,1979-80,1980
332,Freeman Williams,51,1980-01-19,23-249,SDC,@,PHO,L 123-137,1,44,22,34,0.647,20,30,0.667,2,4,0.5,5,6,0.833,0.696,3,1,4,3,2,1,5,1,51,37.4,,G-F,willifr01,1979-80,1980
333,George Gervin,53,1980-01-08,27-256,SAS,,DEN,W 137-134,1,43,23,40,0.575,23,40,0.575,0,0,,7,8,0.875,0.609,1,2,3,2,3,1,2,2,53,37.4,,G-F,gervige01,1979-80,1980
334,Mike Newlin,52,1979-12-16,30-348,NJN,,BOS,L 112-115 (OT),1,49,19,28,0.679,18,25,0.72,1,3,0.333,13,15,0.867,0.751,3,3,6,3,1,0,4,3,52,40.1,,G-F,newlimi01,1979-80,1980
335,Adrian Dantley,50,1979-11-27,24-272,UTA,,LAL,L 118-122,1,45,21,27,0.778,21,27,0.778,0,0,,8,10,0.8,0.796,2,7,9,2,2,0,3,3,50,41.4,,F-G,dantlad01,1979-80,1980
336,George Gervin,52,1979-01-11,26-259,SAS,,SDC,W 140-111,1,37,24,33,0.727,24,33,0.727,,,,4,4,1,0.748,,,1,4,2,1,,1,52,,,G-F,gervige01,1978-79,1979
337,John Drew,50,1978-12-30,24-091,ATL,,DEN,W 113-87,1,33,19,32,0.594,19,32,0.594,,,,12,16,0.75,0.64,2,3,5,1,2,1,3,2,50,35.5,,F-G,drewjo01,1978-79,1979
338,Truck Robinson,51,1978-11-21,27-048,NOJ,,NJN,W 140-118,1,44,20,26,0.769,20,26,0.769,,,,11,13,0.846,0.804,,,16,1,,,,2,51,,,F-C,robintr01,1978-79,1979
339,George Gervin,63,1978-04-09,25-347,SAS,@,NOJ,L 132-153,1,33,23,49,0.469,23,49,0.469,,,,17,20,0.85,0.545,,,2,1,2,1,,3,63,,,G-F,gervige01,1977-78,1978
340,David Thompson,73,1978-04-09,23-270,DEN,@,DET,L 137-139,1,43,28,38,0.737,28,38,0.737,,,,17,20,0.85,0.78,3,4,7,2,0,1,4,2,73,57,,G-F,thompda01,1977-78,1978
341,John Williamson,50,1978-04-04,26-145,NJN,@,IND,W 129-121,1,44,19,32,0.594,19,32,0.594,,,,12,13,0.923,0.663,,,4,3,,,,5,50,,,G,willijo01,1977-78,1978
342,Rick Barry,55,1978-03-25,33-362,GSW,,NYK,W 133-123,1,44,19,31,0.613,19,31,0.613,,,,17,18,0.944,0.707,1,8,9,9,3,0,2,3,55,49.7,,F,barryri01,1977-78,1978
343,Calvin Murphy,57,1978-03-18,29-313,HOU,,NJN,L 104-106,1,48,24,40,0.6,24,40,0.6,,,,9,12,0.75,0.629,,,6,2,3,0,,4,57,,,G,murphca01,1977-78,1978
344,Rick Barry,51,1977-10-29,33-215,GSW,,PHI,W 113-110,1,43,22,38,0.579,22,38,0.579,,,,7,8,0.875,0.614,0,5,5,5,1,0,2,4,51,35.2,,F,barryri01,1977-78,1978
345,Pete Maravich,51,1977-03-18,29-269,NOJ,@,PHO,W 104-100,1,48,21,34,0.618,21,34,0.618,,,,9,10,0.9,0.664,1,5,6,1,5,2,,3,51,,,G,maravpe01,1976-77,1977
346,Pete Maravich,68,1977-02-25,29-248,NOJ,,NYK,W 124-107,1,43,26,43,0.605,26,43,0.605,,,,16,19,0.842,0.662,1,5,6,6,3,2,,6,68,,,G,maravpe01,1976-77,1977
347,Pete Maravich,50,1976-12-26,29-187,NOJ,,WSB,W 109-100,1,48,23,39,0.59,23,39,0.59,,,,4,5,0.8,0.607,,,3,5,,,,2,50,,,G,maravpe01,1976-77,1977
348,Pete Maravich,51,1976-12-14,29-175,NOJ,,KCK,W 120-117,1,47,18,38,0.474,18,38,0.474,,,,15,18,0.833,0.555,,,7,6,1,1,,2,51,,,G,maravpe01,1976-77,1977
349,Phil Smith,51,1976-12-11,24-233,GSW,,HOU,W 124-112,1,43,18,27,0.667,18,27,0.667,,,,15,20,0.75,0.712,1,0,1,3,0,0,,3,51,,,G,smithph01,1976-77,1977
