season_year,pts_bin,PTS,G,FG,FGA,3P,3PA,FT,FTA,TOV,MP,AST,ppg,fga_game,fg_game,3pa_game,3p_game,fta_game,ft_game,ft_pct,min_game,ast_game
1989,4,23189,3714,9216,20171,434,1510,4323,5835,4333,69064,6173,6.24367259,5.431071621,2.481421648,0.4065697361,0.1168551427,1.571082391,1.163974152,0.740874036,18.59558428,1.662089391
1989,3,36855,4007,14616,30913,742,2288,6881,9225,6329,96337,11318,9.197654105,7.714749189,3.647616671,0.5710007487,0.1851759421,2.302221113,1.717244822,0.7459078591,24.04217619,2.824557025
1989,2,57308,4157,22319,47212,1437,4240,11233,14676,8476,123655,12064,13.7859033,11.35722877,5.369016117,1.019966322,0.3456819822,3.530430599,2.702189079,0.7653992914,29.74621121,2.902092855
1989,1,89439,4362,34266,68974,1538,4650,19369,24163,11834,153774,18141,20.50412655,15.81247134,7.855570839,1.066024759,0.3525905548,5.539431453,4.440394315,0.8015974838,35.25309491,4.158872077
1990,5,11072,3341,4357,10127,236,859,2122,3187,2548,41756,3927,3.313977851,3.031128405,1.304100569,0.2571086501,0.07063753367,0.9539060162,0.6351391799,0.6658299341,12.49805447,1.175396588
1990,4,24241,4078,9584,21024,576,1714,4497,6326,4221,73343,7039,5.944335459,5.155468367,2.350171653,0.4203040706,0.1412457087,1.551250613,1.102746444,0.7108757509,17.98504169,1.726091221
1990,3,41011,4309,16082,34382,737,2344,8110,10885,6461,108023,10881,9.517521467,7.979113483,3.732188443,0.543977721,0.1710373637,2.526108146,1.882107217,0.7450620119,25.06915758,2.525179856
1990,2,59881,4371,23641,49508,1285,3875,11314,14869,8274,132214,12931,13.69961107,11.32646992,5.408602151,0.8865248227,0.2939830702,3.401738733,2.588423702,0.7609119645,30.24799817,2.958361931
1990,1,92689,4553,35190,70784,1885,5397,20424,25423,11574,159781,18519,20.35778608,15.54667252,7.72896991,1.185372282,0.4140127389,5.583790907,4.485833516,0.8033670299,35.09356468,4.067428069
1991,5,12998,3546,5095,11421,178,672,2630,3889,2573,43958,3030,3.665538635,3.220812183,1.436830231,0.1895093063,0.05019740553,1.096728708,0.7416807671,0.6762663924,12.3965031,0.8544839255
1991,4,23413,4016,9243,20555,631,1954,4296,6128,4136,70057,6003,5.829930279,5.118276892,2.301543825,0.4865537849,0.1571215139,1.525896414,1.069721116,0.7010443864,17.44447211,1.494770916
1991,3,40283,4266,16029,33748,621,2106,7604,10163,6814,110483,11902,9.442803563,7.910923582,3.757383966,0.4936708861,0.1455696203,2.382325363,1.78246601,0.7482042704,25.89849977,2.789967182
